ListingKey,Status,URL,Message,Timestamp
3yd-SANDICOR-180024781,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809627&listing=180024781,Successfully imported,
3yd-SANDICOR-180021061,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809658&listing=180021061,Successfully imported,
3yd-SANDICOR-180023521,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809650&listing=180023521,Successfully imported,
3yd-SANDICOR-180026796,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809720&listing=180026796,Successfully imported,
3yd-SANDICOR-180021472,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809651&listing=180021472,Successfully imported,
3yd-SANDICOR-180022698,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809651&listing=180022698,Successfully imported,
3yd-SANDICOR-180018561,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=106538&listing=180018561,Successfully imported,
3yd-SANDICOR-180022520,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=108063&listing=180022520,Successfully imported,
3yd-SANDICOR-180012591,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809649&listing=180012591,Successfully imported,
3yd-SANDICOR-180012595,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809649&listing=180012595,Successfully imported,
3yd-SANDICOR-180018281,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809649&listing=180018281,Successfully imported,
3yd-SANDICOR-180018386,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809649&listing=180018386,Successfully imported,
3yd-SANDICOR-180023000,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809649&listing=180023000,Successfully imported,
3yd-SANDICOR-180025123,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809649&listing=180025123,Successfully imported,
3yd-SANDICOR-180026003,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=809649&listing=180026003,Successfully imported,
3yd-SANDICOR-180011081,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=106553&listing=180011081,Successfully imported,
3yd-SANDICOR-180020900,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=106553&listing=180020900,Successfully imported,
3yd-SANDICOR-180024524,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=106553&listing=180024524,Successfully imported,
3yd-SANDICOR-170055464,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=646829&listing=170055464,Successfully imported,
3yd-SANDICOR-180021729,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=631322&listing=180021729,Successfully imported,
3yd-SANDICOR-180022947,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=631322&listing=180022947,Successfully imported,
3yd-SANDICOR-180024648,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=672655&listing=180024648,Successfully imported,
3yd-SANDICOR-180024693,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=651233&listing=180024693,Successfully imported,
3yd-SANDICOR-180026135,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=631322&listing=180026135,Successfully imported,
3yd-SANDICOR-180026526,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=672837&listing=180026526,Successfully imported,
3yd-SANDICOR-170063594,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=635685&listing=170063594,Successfully imported,
3yd-SANDICOR-170061697,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=151262&listing=170061697,Successfully imported,
3yd-SANDICOR-180003565,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=151262&listing=180003565,Successfully imported,
3yd-SANDICOR-180012307,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=152809&listing=180012307,Successfully imported,
3yd-SANDICOR-180013639,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=151384&listing=180013639,Successfully imported,
3yd-SANDICOR-180015738,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=151384&listing=180015738,Successfully imported,
3yd-SANDICOR-180015779,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=152809&listing=180015779,Successfully imported,
3yd-SANDICOR-180016017,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=151533&listing=180016017,Successfully imported,
3yd-SANDICOR-180022894,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=110473&listing=180022894,Successfully imported,
3yd-SANDICOR-180000486,SUCCESS,https://sprynamics.now.sh/designer?product=postcard&size=9x6&agent=152151&listing=180000486,Successfully imported,
